CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12906,6,18,3841.22,1,Champions / VIP
12907,355,2,133.72,0,Hibernating / Lost
12908,166,6,348.26,2,Loyal / Steady Spenders
12909,220,6,352.19,2,Loyal / Steady Spenders
12910,168,5,479.67,2,Loyal / Steady Spenders
12911,1,1,114.34000000000002,3,At-Risk / Needs Attention
12912,108,7,424.33,2,Loyal / Steady Spenders
12913,162,4,515.97,2,Loyal / Steady Spenders
12914,354,2,33.84,0,Hibernating / Lost
12915,171,6,815.55,2,Loyal / Steady Spenders
12916,73,9,1033.35,2,Loyal / Steady Spenders
12917,15,4,166.85999999999999,3,At-Risk / Needs Attention
12918,24,15,1308.53,1,Champions / VIP
12919,28,3,345.44,3,At-Risk / Needs Attention
12920,290,2,108.18,0,Hibernating / Lost
12921,202,6,435.53,2,Loyal / Steady Spenders
12922,32,7,656.94,2,Loyal / Steady Spenders
12923,14,12,2395.07,1,Champions / VIP
12924,165,2,107.63,0,Hibernating / Lost
12925,251,5,458.73,0,Hibernating / Lost
12926,21,3,124.25,3,At-Risk / Needs Attention
12927,6,1,47.03,3,At-Risk / Needs Attention
12928,3,1,54.16,3,At-Risk / Needs Attention
12929,150,11,1096.47,2,Loyal / Steady Spenders
12930,52,8,683.22,2,Loyal / Steady Spenders
12931,17,13,2589.56,1,Champions / VIP
12932,352,1,28.72,0,Hibernating / Lost
12933,255,3,97.22,0,Hibernating / Lost
12934,9,13,1932.03,1,Champions / VIP
12935,122,12,1608.92,1,Champions / VIP
12936,36,6,643.92,2,Loyal / Steady Spenders
12937,260,3,344.31,0,Hibernating / Lost
12938,27,14,1321.69,1,Champions / VIP
12939,268,1,62.580000000000005,0,Hibernating / Lost
12940,146,9,708.52,2,Loyal / Steady Spenders
12941,1,21,3522.44,1,Champions / VIP
12942,33,10,1465.63,1,Champions / VIP
12943,163,4,221.26,2,Loyal / Steady Spenders
12944,8,22,3736.15,1,Champions / VIP
12945,19,25,3606.06,1,Champions / VIP
12946,308,4,90.4,0,Hibernating / Lost
12947,55,4,485.2,2,Loyal / Steady Spenders
12948,27,11,980.49,1,Champions / VIP
12949,25,2,204.16,3,At-Risk / Needs Attention
12950,51,2,175.05,3,At-Risk / Needs Attention
12951,172,1,86.26,0,Hibernating / Lost
12952,177,3,96.28999999999999,0,Hibernating / Lost
12953,153,5,309.61,2,Loyal / Steady Spenders
12954,314,3,137.79,0,Hibernating / Lost
12955,18,3,219.22,3,At-Risk / Needs Attention
12956,41,5,255.12,2,Loyal / Steady Spenders
12957,279,2,198.42000000000002,0,Hibernating / Lost
12958,325,2,85.9,0,Hibernating / Lost
12959,18,1,95.22,3,At-Risk / Needs Attention
12960,66,14,1620.79,1,Champions / VIP
12961,241,5,245.88,0,Hibernating / Lost
12962,11,1,69.63,3,At-Risk / Needs Attention
12963,5,20,3013.36,1,Champions / VIP
12964,171,6,532.97,2,Loyal / Steady Spenders
12965,283,3,183.15,0,Hibernating / Lost
12966,36,9,746.68,2,Loyal / Steady Spenders
12967,19,1,59.07,3,At-Risk / Needs Attention
12968,176,4,474.27,2,Loyal / Steady Spenders
12969,208,2,136.31,0,Hibernating / Lost
12970,18,1,127.27,3,At-Risk / Needs Attention
12971,337,2,128.11,0,Hibernating / Lost
12972,9,5,402.15999999999997,2,Loyal / Steady Spenders
12973,6,23,4778.89,1,Champions / VIP
12974,20,2,159.6,3,At-Risk / Needs Attention
12975,26,1,20.46,3,At-Risk / Needs Attention
12976,314,2,204.38,0,Hibernating / Lost
12977,16,3,428.64,3,At-Risk / Needs Attention
12978,80,7,512.0,2,Loyal / Steady Spenders
12979,12,27,4837.99,1,Champions / VIP
12980,161,2,111.63,0,Hibernating / Lost
12981,33,15,1891.56,1,Champions / VIP
12982,1,24,3508.69,1,Champions / VIP
12983,281,4,154.10999999999999,0,Hibernating / Lost
12984,155,10,651.26,2,Loyal / Steady Spenders
12985,253,5,471.91999999999996,0,Hibernating / Lost
12986,29,3,348.64,3,At-Risk / Needs Attention
12987,11,3,277.57,3,At-Risk / Needs Attention
12988,9,8,753.75,2,Loyal / Steady Spenders
12989,173,5,293.68,2,Loyal / Steady Spenders
12990,195,2,116.72,0,Hibernating / Lost
12991,263,4,257.96999999999997,0,Hibernating / Lost
12992,32,10,729.76,2,Loyal / Steady Spenders
12993,303,6,321.62,0,Hibernating / Lost
12994,329,1,23.76,0,Hibernating / Lost
12995,328,2,147.77,0,Hibernating / Lost
